company;stream_type;stream_name;composition;kiloton/year;Temperature ©;pressure (bar)
Hydrogen Plant;raw;FS-NG;70.5% CH4, 2.38% CO2, 21.78 N2, 4.88% N-C2A, 0.47% NC3-A;3.34204098920932;20;20
Hydrogen Plant;raw;FS-STEAM;100% water;6.61459209499016;215;21
Hydrogen Plant;raw;FS-AIR;0.045% CO2, 0.27% H2O, 75.27 % N2, 23.13% O2, 1.28% AR;27.0941671018658;15;1.02
Hydrogen Plant;raw;FS-UCH4;70.5% CH4, 2.38% CO2, 21.78 N2, 4.88% N-C2A, 0.47% NC3-A;1.0994115626045;15;1.02
Hydrogen Plant;raw;FS-NG;70.5% CH4, 2.38% CO2, 21.78 N2, 4.88% N-C2A, 0.47% NC3-A;3.34204098920932;20;20
Hydrogen Plant;products;PS-HYDRO;99.93% H2, 0.07% N2;1;40;15
Hydrogen Plant;waste;WS-FLUE; 61.05% N2, 26.9% CO2, 8.8% Water, 2.4% O2, 0.99% Ar;34.98;180;3
Hydrogen Plant;waste;WS-WW;99.95 %water, 0.05% CO2;2.16;40;1.02
Natural Gas CHP;raw;FS-AIR;23.3% O2, 76.7% N2;3924.048;;
Natural Gas CHP;raw;FS-NG1;70.5% CH4, 2.38% CO2, 21.78 N2, 4.88% N-C2A, 0.47% NC3-A;105;;
Natural Gas CHP;raw;FS-NG2;70.5% CH4, 2.38% CO2, 21.78 N2, 4.88% N-C2A, 0.47% NC3-A;7.3;;
Natural Gas CHP;raw;FS-WATER;100 % H2O;960;;
Natural Gas CHP;products;PS-LPS;100 % H2O;320;;
Natural Gas CHP;products;PS-MPS;100 % H2O;320;;
Natural Gas CHP;products;PS-HPS;100 % H2O;320;;
Natural Gas CHP;waste;WS-FLUEG;75.2% N2, 5.9% CO2, 14.3% O2, 4.7% H2O;4036.295;;
Olefins Production Plant;raw;Naphtha;100% Naphtha;3000;40;1.02
Olefins Production Plant;raw;Steam;100% water;1500;156;5.5
Olefins Production Plant;raw;Combustion air;23% O2, 77% N2;23311.12;15;1.02
Olefins Production Plant;raw;NaOH;50% water, 50% NaOH;17.53785;40;1.02
Olefins Production Plant;raw;Dilution water;100% water;146.5753;15;1.02
Olefins Production Plant;raw;NFM solvent;100% NFM;0.0313159;15;1.02
Olefins Production Plant;raw;DMF solvent;100% DMF;0.081866;15;1.02
