company_id,company_name,stream_id,stream_name,stream_type,flow_kton_per_year,norm_flow_kton_per_year,carbon_pct_%,carbon_pct_complete
C002,Natural Gas CHP,S009,FS-AIR,raw_material,3924.048,3786.157,0.0,1
C002,Natural Gas CHP,S012,FS-WATER,raw_material,960.0,926.266,0.0,1
C002,Natural Gas CHP,S010,FS-NG1,raw_material,105.0,101.31,57.72,1
C002,Natural Gas CHP,S011,FS-NG2,raw_material,7.3,7.043,57.72,1
C002,Natural Gas CHP,S016,WS-FLUEG,waste,4036.295,3894.46,1.61,1
C002,Natural Gas CHP,S013,PS-LPS,products,320.0,308.755,0.0,1
C002,Natural Gas CHP,S014,PS-MPS,products,320.0,308.755,0.0,1
C002,Natural Gas CHP,S015,PS-HPS,products,320.0,308.755,0.0,1
C003,Olefins Production Plant,S019,Combustion air,raw_material,23311.12,35398.872,0.0,1
C003,Olefins Production Plant,S017,Naphtha,raw_material,3000.0,4555.62,93.69,1
C003,Olefins Production Plant,S018,Steam,raw_material,1500.0,2277.81,0.0,1
C003,Olefins Production Plant,S028,HC Reformate import,raw_material,416.916,633.104,89.04,1
C003,Olefins Production Plant,S027,Pygas import,raw_material,372.208,565.213,91.52,1
C003,Olefins Production Plant,S021,Dilution water,raw_material,146.575,222.58,0.0,1
C003,Olefins Production Plant,S020,NaOH,raw_material,17.538,26.632,0.0,1
C003,Olefins Production Plant,S024,Make-up water,raw_material,1.499,2.276,0.0,1
C003,Olefins Production Plant,S026,H2 gas,raw_material,1.143,1.736,0.0,1
C003,Olefins Production Plant,S023,DMF solvent,raw_material,0.082,0.124,49.3,1
C003,Olefins Production Plant,S022,NFM solvent,raw_material,0.031,0.048,52.16,1
C003,Olefins Production Plant,S025,Make-up NMP,raw_material,0.026,0.04,60.58,1
C003,Olefins Production Plant,S037,Flue gas,waste,23996.62,36439.831,2.12,1
C003,Olefins Production Plant,S039,Dirty water (WS-DW),waste,1470.525,2233.051,0.13,1
C003,Olefins Production Plant,S044,C7+ stream/Pygas tail,waste,294.449,447.133,87.71,1
C003,Olefins Production Plant,S038,Effluent,waste,113.641,172.568,9.03,1
C003,Olefins Production Plant,S040,Water,waste,91.846,139.472,0.0,1
C003,Olefins Production Plant,S041,Propane rich fuel gas,waste,10.585,16.073,81.77,1
C003,Olefins Production Plant,S042,Vinyl acetylene,waste,4.957,7.528,91.76,1
C003,Olefins Production Plant,S043,Waste water,waste,1.125,1.709,0.29,1
C003,Olefins Production Plant,S029,Ethylene,products,876.118,1330.42,85.64,1
C003,Olefins Production Plant,S035,Benzene,products,672.519,1021.248,92.26,1
C003,Olefins Production Plant,S030,Propylene,products,493.895,750.0,85.63,1
C003,Olefins Production Plant,S036,Non aromatic stream,products,294.273,446.866,86.04,1
C003,Olefins Production Plant,S034,C9+ stream,products,220.591,334.977,92.62,1
C003,Olefins Production Plant,S033,Butadiene,products,116.321,176.638,88.7,1
C003,Olefins Production Plant,S032,Butene mixture,products,92.55,140.542,85.55,1
C003,Olefins Production Plant,S031,Acetylene,products,17.067,25.916,92.09,1
C004,Aromatics Production Plant,S046,FS-PYGAS,raw_material,2220.704,586.635,88.8,1
C004,Aromatics Production Plant,S045,FS-REFM,raw_material,1866.25,493.0,87.53,1
C004,Aromatics Production Plant,S047,FS-C7+,raw_material,381.559,100.795,87.87,1
C004,Aromatics Production Plant,S052,FS-WAT,raw_material,129.71,34.265,0.0,1
C004,Aromatics Production Plant,S053,FS-SULFO,raw_material,126.465,33.408,39.58,1
C004,Aromatics Production Plant,S048,FS-H2,raw_material,23.633,6.243,0.0,1
C004,Aromatics Production Plant,S051,FS-HYDRO,raw_material,4.917,1.299,0.0,1
C004,Aromatics Production Plant,S049,FS-H2IN,raw_material,0.484,0.128,0.0,1
C004,Aromatics Production Plant,S050,FS-H2TOL,raw_material,0.176,0.046,0.0,1
C004,Aromatics Production Plant,S063,WS-OFFGA,waste,1066.319,281.685,82.46,1
C004,Aromatics Production Plant,S069,WS-RAFF,waste,844.334,223.045,72.91,1
C004,Aromatics Production Plant,S058,WS-C9+,waste,605.354,159.914,90.86,1
C004,Aromatics Production Plant,S065,WS-PRG1,waste,125.931,33.267,39.63,1
C004,Aromatics Production Plant,S073,WS-NONAR,waste,80.158,21.175,83.95,1
C004,Aromatics Production Plant,S059,WS-ETHAN,waste,47.391,12.519,79.82,1
C004,Aromatics Production Plant,S057,WS-2C9+,waste,45.1,11.914,89.78,1
C004,Aromatics Production Plant,S071,WS-RAFF3,waste,32.765,8.655,83.77,1
C004,Aromatics Production Plant,S061,WS-HEPT,waste,30.153,7.965,90.55,1
C004,Aromatics Production Plant,S060,WS-HEAVY,waste,20.198,5.336,148.04,1
C004,Aromatics Production Plant,S064,WS-PRG,waste,12.141,3.207,9.42,1
